Chrom	WinStart	WinStop	CMStops	Dark_Inf_Depth	Light_Inf_Depth	EF8N
X	910501	920534	0.00920534	3238	2301	0.189831193
X	920535	946864	0.00946864	7047.5	4628	0.184127794
X	946865	955659	0.00955659	4000	2926.5	0.208442832
X	955660	980309	0.00980309	5411.5	3817.5	0.250196568
X	980310	990406	0.00990406	3706	2859	0.214646811
X	990407	1001147	0.010414882	2878	2000	0.210218315
X	1001148	1013936	0.015040286	4298.5	3084.5	0.191943481
X	1013937	1026550	0.019602398	3419	2710	0.181218868
X	1026551	1038344	0.023867941	3505	2673	0.182439271
X	1038345	1045129	0.026321875	2646	1973	0.171259733
X	1045130	1056948	0.03059646	3780	2742	0.233989695
X	1056949	1067394	0.03437447	3866	2803	0.149568343
X	1067395	1078498	0.03839046	5609.5	3762	0.18417194
X	1078499	1088467	0.041995954	4601.5	3193	0.225429165
X	1088468	1097917	0.04541374	4739	3230	0.202829888
X	1097918	1110385	0.049922994	5436.5	3623	0.231734976
X	1110386	1123029	0.054495956	6307.5	3843.5	0.222805562
X	1123030	1134433	0.058620447	6849	4370	0.219084253
X	1134434	1147336	0.063287082	4309	2926	0.189075609
X	1147337	1157137	0.066831815	4079	2763.5	0.181235645
X	1157138	1169470	0.071292298	3565	2754	0.20818915
X	1169471	1181400	0.075607028	5762	4132	0.189555852
X	1181401	1201380	0.082833251	7384	5141	0.212116461
X	1201381	1212562	0.086877451	4309	3091	0.230373217
X	1212563	1231122	0.093590056	8056	5301	0.222242433
X	1231123	1270225	0.107732459	10012	6332	0.203905205
X	1270226	1294755	0.116604238	10416	6660	0.17278366
X	1294756	1312088	0.11862208	4711	3148	0.192415265
X	1312089	1336955	0.11887075	5859	3909.5	0.176610973
X	1336956	1365501	0.11915621	5548	3231.5	0.16365331
X	1365502	1392888	0.11943008	11194	7057.5	0.199768633
X	1392889	1421717	0.127355545	8861.5	5697	0.213778915
X	1421718	1440607	0.134187501	7339	4951	0.150276381
X	1440608	1470736	0.145084273	9288.5	6032	0.188225638
X	1470737	1534800	0.15881477	9629.5	6811	0.211988617
X	1534801	1560215	0.161112734	8794	5555	0.197016589
X	1560216	1577354	0.162662402	7683.5	4845.5	0.198508076
X	1577355	1593159	0.164091453	8419	5286	0.208159733
X	1593160	1604057	0.16475057	4566	3026	0.209301881
X	1604058	1618375	0.16489375	7088	4673	0.22055269
X	1618376	1643491	0.16514491	7552.5	4928	0.199975264
X	1643492	1653355	0.16524355	4560	2996.5	0.188410941
X	1653356	1664331	0.16535331	5717.5	3810.5	0.209872846
X	1664332	1680564	0.16551564	3469	2559.5	0.242627047
X	1680565	1696081	0.16567081	5800	3996	0.217514618
X	1696082	1714212	0.168280004	7598	5176.5	0.199777362
X	1714213	1732645	0.17161334	5685.5	4286.5	0.205570749
X	1732646	1750720	0.174881938	5806	4208	0.18828657
X	1750721	1782436	0.180617309	12396	7820	0.247620789
X	1782437	1814315	0.18393665	11189.5	7367.5	0.230250714
X	1814316	1844306	0.18423656	7757	5061	0.199778449
X	1844307	1866920	0.1844627	5807	4181	0.2172263
X	1866921	1878443	0.18457793	4277	3080	0.217455265
X	1878444	1890523	0.18469873	5120	3655.5	0.211450416
X	1890524	1916060	0.187697687	9042	5494	0.252470565
X	1916061	1943422	0.192645702	5360	3650	0.19614139
X	1943423	1970460	0.197535126	11464	7194	0.213314287
X	1970461	1985212	0.200202808	7273	4870	0.224846018
X	1985213	1994994	0.201971739	4875.5	3407	0.191527772
X	1994995	2009983	0.20297683	6190	4213	0.234042485
X	2009984	2045536	0.20333236	7634	4947.5	0.196241247
X	2045537	2060914	0.20348614	7090	4395	0.220463304
X	2060915	2078032	0.20365732	6549	4821	0.210932652
X	2078033	2091955	0.20379655	5427	3607.5	0.205765057
X	2091956	2106829	0.205729395	7998.5	5114.5	0.179149352
X	2106830	2128048	0.211485111	7492	4746	0.234821715
X	2128049	2144839	0.216039718	8008	4883	0.19360419
X	2144840	2158458	0.219733912	8184.5	4986.5	0.207834205
X	2158459	2176819	0.224714386	4988.5	3289.5	0.177251705
X	2176820	2188453	0.227870143	2913	2255	0.196520981
X	2188454	2211911	0.241772008	4875.5	3506	0.204713138
X	2211912	2219953	0.249043395	3232	2439.5	0.203463127
X	2219954	2227106	0.255510968	3531	2233.5	0.20178772
X	2227107	2234085	0.261821215	2449	1689.5	0.180894474
X	2234086	2244422	0.271167686	5077	3221	0.210822424
X	2244423	2253148	0.279057529	3248	2495	0.209052161
X	2253149	2265403	0.29013821	4548.5	3164.5	0.188204076
X	2265404	2278004	0.301531737	7933	4818	0.202959935
X	2278005	2287605	0.310212734	3785.5	2667	0.201011336
X	2287606	2304006	0.331924133	3621.5	2686	0.175516927
X	2304007	2313405	0.356569358	4143.5	2829	0.179889671
X	2313406	2323687	0.383529908	2325.5	1498	0.130529187
X	2323688	2332069	0.405508447	3503	2478	0.182528329
X	2332070	2341642	0.43060992	5039	3475	0.196179761
X	2341643	2354025	0.463079526	5777	4134	0.188739225
X	2354026	2364264	0.489927325	3680	2898.5	0.199215186
X	2364265	2374488	0.516735792	2924.5	2078.5	0.186207109
X	2374489	2383446	0.540224667	4694	2985	0.176635567
X	2383447	2391107	0.560312663	3366	2266	0.239758689
X	2391108	2399779	0.583051613	3278	2318	0.181993285
X	2399780	2407657	0.614093524	2603	2002.5	0.180695626
X	2407658	2415104	0.643720491	1915	1524.5	0.179372772
X	2415105	2424174	0.679804361	3387	2484	0.186465126
X	2424175	2432267	0.712001358	2960.5	2176	0.184507104
X	2432268	2441471	0.748618331	2731.5	2049	0.188240678
X	2441472	2447646	0.773184803	2662.5	1809	0.207975861
X	2447647	2453493	0.796446367	1675.5	1336	0.218313349
X	2453494	2460011	0.822377422	2418	1879	0.18827226
X	2460012	2466632	0.848718249	2631	2061.5	0.164191381
X	2466633	2472711	0.872902797	2960.5	2091.5	0.130420701
X	2472712	2477680	0.892671348	3708	2164	0.157441852
X	2477681	2486656	0.928381251	4720	3186.5	0.152002602
X	2486657	2495432	0.963295478	4023	2636.5	0.162865644
X	2495433	2504257	0.990321617	5901	3427	0.179865673
X	2504258	2519137	1.021266149	4960	3141	0.18478515
X	2519138	2528750	1.041257398	8532	4729	0.141860184
X	2528751	2538169	1.060845204	3929	2922	0.099344703
X	2538170	2548506	1.082342087	3268.5	2566.5	0.160481724
X	2548507	2557006	1.100018735	3609.5	2212	0.193331305
X	2557007	2563527	1.113579844	1758	1225.5	0.208265386
X	2563528	2573569	1.134463243	2628	1815	0.128467454
X	2573570	2577723	1.143101925	3006	1792	0.164894056
X	2577724	2584808	1.157835931	6146	3491	0.173632246
X	2584809	2590938	1.170583914	5700	3307.5	0.187978988
X	2590939	2598213	1.185713045	4455	2753	0.20526667
X	2598214	2604148	1.200305773	4595	2857	0.167012755
X	2604149	2612071	1.221080762	6732	4063.5	0.146167349
X	2612072	2620160	1.242291021	6608	3762	0.166596347
X	2620161	2629155	1.265876914	6026	3407	0.181313922
X	2629156	2639214	1.292252733	4073	2661	0.171318355
X	2639215	2647655	1.314385976	2769	2017	0.184821425
X	2647656	2655662	1.335381222	2893.5	2132	0.179726865
X	2655663	2662952	1.354496415	1405	1063.5	0.145045474
X	2662953	2668453	1.36892065	1175	1027	0.128593074
X	2668454	2676782	1.390760216	2127.5	1497.5	0.108947056
X	2676783	2685541	1.41372729	2798	2028	0.150515063
X	2685542	2692349	1.431578625	2935.5	1965.5	0.180135597
X	2692350	2700665	1.453083438	2133.5	1500	0.16925529
X	2700666	2708393	1.469853378	2561.5	1761.5	0.145963726
X	2708394	2714234	1.482528484	1398	1058.5	0.201699234
X	2714235	2729000	1.514571047	1465.5	1173.5	0.195736038
X	2729001	2735692	1.529092843	2381.5	1777.5	0.171184602
X	2735693	2752084	1.564663865	1784	1405.5	0.138071902
X	2752085	2758294	1.578139709	1600	1240	0.151708633
X	2758295	2764753	1.59215589	1886.5	1419	0.156283348
X	2764754	2770910	1.605516723	2866	1732	0.20471646
X	2770911	2778396	1.621761517	3118.5	2114	0.189964809
X	2778397	2783293	1.632388121	1234.5	889.5	0.11476696
X	2783294	2790214	1.647406852	3505	2394.5	0.135249781
X	2790215	2797794	1.663855629	2156	1668	0.081810148
X	2797795	2802932	1.674209958	1892	1327	0.071549644
X	2802933	2810352	1.688298834	1930	1430	0.095624354
X	2810353	2817499	1.701869346	3477.5	2342.5	0.121659238
X	2817500	2823419	1.713110067	2456	1857	0.089922045
X	2823420	2829709	1.725053332	4101.5	2561	0.104765004
X	2829710	2834752	1.734628831	2532	1483.5	-0.014091715
X	2834753	2840986	1.746465766	3648	2092	0.05362951
X	2840987	2847590	1.759005245	2174	1496	0.116884677
X	2847591	2855906	1.774795419	3538.5	2394	0.056364385
X	2855907	2866343	1.794612886	2066.5	1648	0.056934176
X	2866344	2873137	1.807513132	1399	1106	0.085340838
X	2873138	2882400	1.825101442	1710	1211	0.07163995
X	2882401	2891911	1.843160647	1791.5	1400	0.053023538
X	2891912	2899619	1.857796368	1478.5	1311.5	0.070940026
X	2899620	2908210	1.88450128	1096	830	0.071634192
X	2908211	2916627	1.911137864	1530	1186.5	0.04734493
X	2916628	2924307	1.935442124	1798	1410	0.090259618
X	2924308	2933136	1.96338253	1061	937	0.05873155
X	2933137	2940172	1.985648778	1328	986	0.066425661
X	2940173	2947516	2.008889727	1353.5	1130.5	0.075600556
X	2947517	2955815	2.035152886	1756	1403	0.111602756
X	2955816	2963988	2.061017303	1995	1740	0.068475565
X	2963989	2977615	2.104141542	1034.5	785.5	-0.006843569
X	2977616	2983840	2.123841285	1575.5	1255	0.038695215
X	2983841	2989791	2.142673922	1117.5	917	0.133722235
X	2989792	2994934	2.158949549	763	627.5	0.020378915
X	2994935	3001335	2.179568368	614	528	0.073377444
X	3001336	3008277	2.203420179	841	686	0.083873922
X	3008278	3015164	2.227083017	1273.5	955	0.08039122
X	3015165	3021598	2.249189406	1541	1170.5	0.045652923
X	3021599	3028108	2.271556921	2709	1583.5	0.077014009
X	3028109	3035690	2.297607688	1981	1541	0.058603807
X	3035691	3044359	2.327393247	1420	1188	0.06285989
X	3044360	3050705	2.349197279	2114	1417	0.064857012
X	3050706	3057809	2.373605701	1841.5	1200	0.107702847
X	3057810	3066351	2.402954904	6502.5	3624	0.081050768
X	3066352	3071088	2.419230621	2454	1601	0.024143979
X	3071089	3085825	2.46986504	1303.5	1024.5	0.036014937
X	3085826	3091113	2.488033922	849.5	666.5	0.110783151
X	3091114	3098322	2.51280311	1113	893.5	0.077137565
X	3098323	3104199	2.5284398	972.5	855	-0.007609913
X	3104200	3110611	2.543513505	882.5	667.5	0.081475626
X	3110612	3126434	2.58071114	1430	1106	0.074262514
X	3126435	3136716	2.604882668	2349.5	1685.5	0.09393819
X	3136717	3142621	2.618764487	1703.5	1223.5	0.111840578
X	3142622	3147709	2.630725656	1347.5	877	0.066328085
X	3147710	3153769	2.644971858	770.5	615	0.123145014
X	3153770	3159367	2.658131965	1084	844	-0.008911883
X	3159368	3165263	2.671992627	1338.5	1118.5	0.047928444
X	3165264	3171155	2.685843885	1266	1062	0.081553954
X	3171156	3177089	2.69979388	2142	1496	0.007671707
X	3177090	3182233	2.711886696	949	753	0.053438257
X	3182234	3189714	2.729473469	1581.5	1176	0.101104697
X	3189715	3196097	2.744478999	1189	1034.5	0.100896817
X	3196098	3201939	2.760316534	1319.5	946	0.049529382
X	3201940	3207603	2.779777302	1652.5	1133.5	0.070898792
X	3207604	3213540	2.800176064	3202.5	2132	0.11763766
X	3213541	3219008	2.818963402	1343.5	1004	0.111875528
X	3219009	3225028	2.83964734	724	616	0.06885486
X	3225029	3231614	2.862275981	1247	908.5	0.092925033
X	3231615	3240173	2.891683594	1612	1109	0.066298067
X	3240174	3246133	2.912161381	835	747	0.098160679
X	3246134	3251401	2.930261545	660	506	0.077180906
X	3251402	3257783	2.952189268	910	709	0.133733383
X	3257784	3263115	2.970509328	888	726	0.078211888
X	3263116	3272900	3.004129318	1986	1472.5	0.081611488
X	3272901	3284593	3.044304948	1930	1364	0.09030537
X	3284594	3289719	3.061917219	784	620	0.10306607
X	3289720	3296304	3.084542424	924	754.5	0.096734705
X	3296305	3302567	3.116505889	927.5	687.5	0.036996298
X	3302568	3308768	3.16304231	623	503	0.078919189
X	3308769	3321055	3.255252114	968.5	718	0.092267509
X	3321056	3326462	3.295829831	699	567	0.072822118
X	3326463	3333447	3.348249908	1917.5	1363.5	0.014024214
X	3333448	3341286	3.407078968	882.5	627.5	0.05143602
X	3341287	3347681	3.455071293	1128.5	881	0.078402206
X	3347682	3354363	3.505217457	1303.5	1088.5	0.02613491
X	3354364	3361533	3.559025896	1594	1097	0.056317448
X	3361534	3367437	3.603333432	1738	1161.5	0.020355976
X	3367438	3374700	3.657839805	2246	1551	0.072106884
X	3374701	3380915	3.704481291	3552	2280	0.066121054
X	3380916	3387084	3.750777562	2493	1638	0.099894592
X	3387085	3404025	3.852075008	1374.5	1006.5	0.122504504
X	3404026	3410979	3.859620179	2207.5	1537	0.069197186
X	3410980	3417187	3.866355931	2108.5	1601.5	0.08185652
X	3417188	3423926	3.873667825	1545	1187	0.062043886
X	3423927	3430395	3.880686765	2032	1447	0.08667731
X	3430396	3436076	3.886850716	1206	952	0.113745484
X	3436077	3444164	3.89562629	1967	1572	0.06935662
X	3444165	3449966	3.901921528	1159.5	803.5	0.046439353
X	3449967	3456699	3.909226911	1399.5	1166.5	0.074238739
X	3456700	3463670	3.916790527	1544.5	1365.5	0.070156159
X	3463671	3469163	3.922750496	2079	1493.5	0.106487443
X	3469164	3474255	3.928275375	945.5	805	0.102584797
X	3474256	3480932	3.935519998	1382	1099	0.107173011
X	3480933	3487204	3.942325191	1562	1257.5	0.091558033
X	3487205	3516058	4.007026397	1186	866	0.058829056
X	3516059	3522031	4.025928656	1221	988	0.076920562
X	3522032	3527586	4.043508105	722	645	0.110885209
X	3527587	3531684	4.056476706	955	693	0.144471531
X	3531685	3537024	4.073375762	833.5	664	0.072737359
X	3537025	3543432	4.09365463	1496	1141.5	0.051849887
X	3543433	3548484	4.109642276	692	581	0.000725976
X	3548485	3553987	4.127057165	1331.5	946.5	0.025571496
X	3553988	3558410	4.141054267	699.5	556.5	0.103923802
X	3558411	3565207	4.162564171	1510	1044	0.139496385
X	3565208	3573768	4.18965646	728	613	0.164948304
X	3573769	3585022	4.225271062	2246	1741	0.166771512
X	3585023	3597964	4.266227539	2660	2112	0.119316101
X	3597965	3605343	4.287163733	819	670.5	0.109015539
X	3605344	3611263	4.303221906	757	656	0.083925695
X	3611264	3619689	4.326077676	1705.5	1348	0.087305507
X	3619690	3630111	4.354347654	1831.5	1364	0.088109879
X	3630112	3640576	4.382734271	2636	2093.5	0.067416622
X	3640577	3658017	4.430043491	1876.5	1324.5	0.068263403
X	3658018	3662772	4.442941567	686	517	0.094199174
X	3662773	3685791	4.505381274	1582.5	1163	0.114264629
X	3685792	3705241	4.549136267	2596	1816	0.060809512
X	3705242	3711152	4.555015312	2801.5	2113.5	0.085345119
X	3711153	3717529	4.561357838	1876	1403	0.090241663
X	3717530	3722593	4.566394462	1819	1392	0.08081636
X	3722594	3728630	4.572398826	2833	1982	0.041976574
X	3728631	3733474	4.577216639	1568	1332	0.111277195
X	3733475	3740586	4.584290192	2148.5	1712	0.100760394
X	3740587	3747987	4.591651182	5022	3296	0.104589865
X	3747988	3755333	4.59895747	3989.5	2336	0.044051294
X	3755334	3762631	4.606216017	3176	2258	0.096189909
X	3762632	3770208	4.613752056	3517.5	2493.5	0.079507093
X	3770209	3779285	4.622779985	4432	2863	0.101259059
X	3779286	3786891	4.630344867	3173	2120	0.063791347
X	3786892	3794467	4.637879911	3081	1977.5	0.065042515
X	3794468	3802014	4.656130023	3750	2483	0.115242987
X	3802015	3809601	4.704149925	3396	2376	0.074259224
X	3809602	3818433	4.760049725	2882	2251	0.098395073
X	3818434	3838100	4.884526781	3423.5	2481.5	0.124421597
X	3838101	3859768	5.021668635	6338.5	3971	0.105765281
X	3859769	3866588	5.064834015	4325	2710	0.120611086
X	3866589	3874724	5.116328667	2450	1870	0.093336289
X	3874725	3880317	5.151728076	1897	1296.5	0.04139996
X	3880318	3895750	5.249407153	1941	1497.5	0.063987342
X	3895751	3903592	5.296442823	2344	1865.5	0.050590823
X	3903593	3912154	5.344440483	2847.5	2060	0.064264368
X	3912155	3918448	5.379723976	2168.5	1641	0.05412231
X	3918449	3925550	5.419537032	2277.5	1610.5	0.074275442
X	3925551	3934889	5.471890471	2435.5	1914.5	0.089312605
X	3934890	3940242	5.501898818	1496	1090	0.08475412
X	3940243	3948009	5.545439793	2642	1826	0.077194167
X	3948010	3957852	5.600618602	2307	1884.5	0.08229645
X	3957853	3965118	5.641351024	1955	1364.5	0.138610675
X	3965119	3971625	5.677828573	1875	1289.5	0.048177992
X	3971626	3982186	5.737032414	5371	3544	0.054754826
X	3982187	3991589	5.78974463	3100	1955	0.079414354
X	3991590	4003107	5.841671587	6078	3851	0.049578991
X	4003108	4019486	5.866847745	8160	4935	0.064078781
X	4019487	4028059	5.880025302	1580	1074.5	0.009774501
X	4028060	4039158	5.897085573	4130	2827	0.054410361
X	4039159	4047729	5.910260055	2574	1956	0.073856317
X	4047730	4063430	5.93439406	2685.5	2085.5	0.042620821
X	4063431	4071341	5.946554056	2583	1922	0.049160998
X	4071342	4078616	5.957736457	1541.5	1285	0.077778505
X	4078617	4086415	5.969724299	1660.5	1417	0.045941787
X	4086416	4094857	5.982700496	3162.5	2411.5	0.042905419
X	4094858	4102254	6.001814874	1815.5	1511	0.058479998
X	4102255	4108396	6.032358855	1473	1257	0.038532094
X	4108397	4114137	6.060908676	2610	1908.5	0.069512595
X	4114138	4121367	6.096863249	2235.5	1717.5	0.106624801
X	4121368	4127111	6.125427989	1303	1022	0.03979213
X	4127112	4136301	6.171129584	2262	1600.5	0.052685812
X	4136302	4143280	6.205835941	3140.5	2198.5	0.051159165
X	4143281	4155058	6.264407582	3337	2606	0.071069403
X	4155059	4175085	6.364001252	5766.5	4075	0.047148207
X	4175086	4191733	6.446791257	2914.5	2212	0.081468281
X	4191734	4199684	6.486331341	2411	1778	0.08651005
X	4199685	4205630	6.495029527	2692.5	1882.5	0.080764726
X	4205631	4216226	6.508442441	3433	2379	0.053956784
X	4216227	4225343	6.519983167	2393	1817.5	0.057950346
X	4225344	4232218	6.528685865	1582.5	1157.5	0.040757864
X	4232219	4239516	6.537924015	2056.5	1646	0.074126874
X	4239517	4246243	6.546439368	2434	1674.5	0.087136106
X	4246244	4252267	6.554064829	2151	1530	0.046060593
X	4252268	4262649	6.567206852	3151	2076	0.048635771
X	4262650	4270825	6.577556416	3595	2219	0.054201963
X	4270826	4277495	6.585999615	2731	1976.5	0.107867276
X	4277496	4282830	6.592752909	913.5	721.5	-0.00285979
X	4282831	4288529	6.59996697	2085	1545.5	0.111179969
X	4288530	4295086	6.608267128	2344	1787	0.113572234
X	4295087	4301912	6.620192491	2624.5	1855.5	0.075930629
X	4301913	4306394	6.633565802	1592	971	0.086411896
X	4306395	4312734	6.65248298	1716.5	1422	0.075806926
X	4312735	4318687	6.670245434	1861	1328	0.063454839
X	4318688	4325981	6.69200914	2924	1937.5	0.056175414
X	4325982	4333885	6.715592953	1590.5	1340	0.102542645
X	4333886	4342227	6.740483662	1984.5	1523	0.086689736
X	4342228	4352557	6.77130613	2450.5	1821	0.071450455
X	4352558	4362268	6.800281637	2348.5	1750.5	0.095147147
X	4362269	4372671	6.831321922	3718	2759	0.07467932
X	4372672	4381499	6.857662749	2917.5	1895.5	0.116179025
X	4381500	4387764	6.876356143	2117.5	1561.5	0.106074187
X	4387765	4396377	6.902055458	2393	1938	0.152410077
X	4396378	4403227	6.923369706	2232.5	1666	0.165783919
X	4403228	4409207	6.942834815	1910	1356	0.108455697
X	4409208	4413735	6.957573613	1782.5	1292.5	0.065283734
X	4413736	4419235	6.975476305	2059	1454	0.107324712
X	4419236	4425527	6.995956985	2074	1639	0.087043163
X	4425528	4434020	7.023601996	4896	3095.5	0.087670898
X	4434021	4441828	7.049017309	3576	2417	0.12320109
X	4441829	4448821	7.071779768	3602	2359	0.127111303
X	4448822	4457202	7.099060216	3583	2360	0.096847488
X	4457203	4465622	7.12646761	3205.5	2270	0.118615623
X	4465623	4474125	7.154145172	2346	1847	0.162695504
X	4474126	4481296	7.177487027	2051	1385	0.098994402
X	4481297	4490854	7.208598651	2888	2138	0.144756799
X	4490855	4498985	7.23506534	1958.5	1389	0.176786586
X	4498986	4506776	7.264101263	1853.5	1322	0.138438797
X	4506777	4514739	7.29434108	1703	1378	0.161196335
X	4514740	4524582	7.331720273	5350	3371	0.173093347
X	4524583	4533344	7.364994325	4058	2407	0.16424614
X	4533345	4540350	7.391599895	4944.5	2985.5	0.179186437
X	4540351	4552090	7.436183023	6097	3994	0.228450401
X	4552091	4558115	7.459063206	2443	1713	0.257454914
X	4558116	4565397	7.486716898	2539	1714	0.212816386
X	4565398	4572090	7.512133838	1427	1128	0.210003019
X	4572091	4579528	7.540379946	3134.5	1982	0.180116683
X	4579529	4588122	7.573016011	2528	1877.5	0.229324536
X	4588123	4598583	7.612742085	3111.5	2164	0.207368626
X	4598584	4606884	7.682856421	1355	973	0.210255655
X	4606885	4613009	7.740452456	1321.5	1030.5	0.198304779
X	4613010	4618790	7.794813709	1397	1169.5	0.203252174
X	4618791	4624792	7.851253121	1973.5	1496.5	0.21275586
X	4624793	4635186	7.948992416	1314	946.5	0.190805728
X	4635187	4641430	8.007707459	2003.5	1547	0.200248012
X	4641431	4647700	8.066666992	2647	1958	0.228918153
X	4647701	4655714	8.142026113	1789	1410	0.251538497
X	4655715	4660300	8.185150262	549.5	442.5	0.155932823
X	4660301	4669184	8.268690372	3315	2283.5	0.178886674
X	4669185	4678032	8.351891958	2827	1945.5	0.214457686
X	4678033	4687256	8.438629235	2410.5	1805.5	0.20171541
X	4687257	4696292	8.523598666	2437	1646	0.181097407
X	4696293	4703553	8.579990644	1577	1344	0.199570746
X	4703554	4709507	8.616059867	1519	1234.5	0.213689974
X	4709508	4717098	8.662046006	2311.5	1797.5	0.214760091
X	4717099	4721103	8.686308222	1373.5	952.5	0.255230075
X	4721104	4735729	8.774912262	2344	1762.5	0.283780991
X	4735730	4743470	8.821807098	1694	1406	0.256124978
X	4743471	4750676	8.865460913	2057	1611	0.211421704
X	4750677	4758936	8.915499842	2542.5	2031.5	0.236119603
X	4758937	4765550	8.955567332	2226	1624.5	0.228611626
X	4765551	4771769	8.99324192	1546	1120	0.230637612
X	4771770	4777892	9.030334942	1123	840	0.229603476
X	4777893	4784276	9.069009097	1900	1544.5	0.232113276
X	4784277	4789968	9.103491128	2521.5	1872.5	0.229793854
X	4789969	4796000	9.140032873	2331.5	1592	0.226124366
X	4796001	4802906	9.17950452	4075	2471	0.244523708
X	4802907	4812089	9.227662219	3939	2453	0.268546409
X	4812090	4833995	9.342542166	2519	1737.5	0.204715501
X	4833996	4841948	9.384249471	1582	1181	0.254034478
X	4841949	4848275	9.41742967	4602.5	2836.5	0.22381093
X	4848276	4854448	9.449802258	2148	1434.5	0.276162995
X	4854449	4859125	9.474329488	1793.5	1195.5	0.248657313
X	4859126	4864124	9.500545359	1293.5	1029	0.186578766
X	4864125	4871670	9.540118265	1904	1485.5	0.211887264
X	4871671	4877630	9.571373833	1692	1353	0.182907125
X	4877631	4883923	9.604375728	1295	989	0.253696972
X	4883924	4897437	9.675246157	1513	1162	0.208136462
X	4897438	4903588	9.712369703	730.5	561	0.194165016
X	4903589	4911077	9.761800753	1341.5	1146	0.218256644
X	4911078	4918116	9.808261584	1216	936.5	0.203258131
X	4918117	4923580	9.844326648	754.5	626.5	0.30802601
X	4923581	4929420	9.882873495	564	477.5	0.262290207
X	4929421	4937374	9.935373772	1135.5	889	0.221512198
X	4937375	4944538	9.982659664	1374.5	1124.5	0.243004327
X	4944539	4954883	10.05094171	1134	950	0.270888575
X	4954884	4968296	10.13947405	3594.5	2274	0.24696938
X	4968297	4979594	10.21404635	4495	2787	0.240373535
X	4979595	4986838	10.26186028	1242	1003	0.222964013
X	4986839	4999948	10.34839267	1336.5	948.5	0.221370003
X	4999949	5006135	10.43748977	1335	951	0.195678528
X	5006136	5012418	10.52838481	1367.5	1075.5	0.282793957
X	5012419	5018957	10.62298336	1986	1446	0.255398575
X	5018958	5027053	10.74010675	2295	1621.5	0.238512041
X	5027054	5034573	10.84889725	1800.5	1314.5	0.257869764
X	5034574	5040354	10.93252994	966.5	758	0.208098865
X	5040355	5046525	11.0218047	934.5	725	0.242284303
X	5046526	5052517	11.1084899	824	656	0.228538835
X	5052518	5058244	11.19134139	880.5	695.5	0.255036919
X	5058245	5065135	11.29103226	1190	993	0.237948537
X	5065136	5073756	11.41575073	2443	1877	0.24492204
X	5073757	5081693	11.53057389	3539	2332	0.242654616
X	5081694	5089733	11.64688714	2043.5	1456.5	0.237684034
X	5089734	5096367	11.74286004	1287	989	0.270067039
X	5096368	5103490	11.81750707	2017	1542	0.234614519
X	5103491	5110694	11.86310288	1646.5	1272	0.229666937
X	5110695	5118558	11.91287598	2965	2166	0.253545509
X	5118559	5128104	11.97329485	2860	1906.5	0.259721695
X	5128105	5135917	12.02274516	4326	2704	0.283763882
X	5135918	5144417	12.07654366	3732	2505	0.262863997
X	5144418	5153789	12.13586124	2413	1683	0.249184885
